,imagename,captions
0,Not_troll_0.jpg,Ada pikkalipayalugala
1,Not_troll_1.jpg,Etho sambavam nadandhirukkum pola
2,Not_troll_10.jpg,Vunnayellam frienda vechirukken paaru
3,Not_troll_100.jpg,Idho! Ivan dhaan naan nasama ponadhukku kaaranam
4,Not_troll_1000.jpg,Ennada lusu thanama pesikittu irukka lusu payale
5,Not_troll_1001.jpg,Vuhvuhvuhvuhvuh........
6,Not_troll_1002.jpg,"Yenna ore pattasu sathama kekkudhu..
Ohhoo.. inaikku New year ah.. sari naama Namma velaiya paapom"
7,Not_troll_1003.jpg,Inimel ipidi post pottal vailaye vettuven
8,Not_troll_1004.jpg,Ivaingakittarundhu yepidi thapikka porenanu theriyalaye
9,Not_troll_1005.jpg,(no caption)
10,Not_troll_1006.jpg,(no caption)
11,Not_troll_1007.jpg,Inaikku mattum match win panniten naan jaichiten..
12,Not_troll_1008.jpg,Karupu vulaipaligalin vannam.. theriuma vunakku?
13,Not_troll_1009.jpg,Andha group yellam poiyacha???
14,Not_troll_101.jpg,Childhood Memories ☺️☺️☺️
15,Not_troll_1010.jpg,"Deii.. naanpatukku sivanennu dhanada irundhen..
Yaaru vambu thumbukkavadhu ponena..?"
16,Not_troll_1011.jpg,Idhellam yenga vuruppudapogudhu..
17,Not_troll_1012.jpg,Avasarapattu vettidadhinganey..  naan verum like mattum dhaan potten.. post pottadhu vera yaaro..
18,Not_troll_1013.jpg,"Ivan oruthan....  Neram,kaalam theriyama comedy pannuvaan..."
19,Not_troll_1014.jpg,"Anaivarukkum iniya kaalai vanakkam..
Aama ivaru kaalai vanakkam sollalana yaarukku poludhu vidiyadhu paaru.."
20,Not_troll_1015.jpg,"Pattasai konjam thalli vechi vedikkurela pakkathula yen vandi nikkidhu..
Padadhu padadhu.."
21,Not_troll_1016.jpg,Ennaiya vambilukkuradhe vunakku polappa pochi..
22,Not_troll_1017.jpg,Iru vadivelugalum govaluvai thediyapoludhu..
23,Not_troll_102.jpg,Podhum itthoda niruthikka..
24,Not_troll_103.jpg,(no caption)
25,Not_troll_104.jpg,"Podhuma oottunadhu..
Reel andhupochi..."
26,Not_troll_105.jpg,Arumaiyaana karutthu...
27,Not_troll_106.jpg,Vittula oru velaium seiuradhilla! Facebookla vandhu adutthavangalukku advice panna vendiyadhu...
28,Not_troll_107.jpg,Idhoda niruthikka! Idhellam kavidhainu solladhinga naan aludhuruven😭😭😭
29,Not_troll_108.jpg,Yenga thaikku yevalo dhillu paathiyaa..??
30,Not_troll_109.jpg,(no caption)
31,Not_troll_11.jpg,Yellam vunnala varadhu 50 vayasukku mela vunakku Facebook thevaiya...
32,Not_troll_110.jpg,Ivanunga imsai thanga mudiyala...
33,Not_troll_111.jpg,Yennadhi?
34,Not_troll_112.jpg,Vushhhh.......
35,Not_troll_113.jpg,GOOD NIGHT FRIENDS!
36,Not_troll_114.jpg,Indha kodumaiya yenga pooi solluven..
37,Not_troll_115.jpg,Ooo...  Korali vithaiyaa...
38,Not_troll_116.jpg,Aarambathula irundhe wronga pooikkittu irukku ranaranama aaidum...
39,Not_troll_117.jpg,Naan theriyamadhaan kekkuren. Nii comment panna vandhiya? Illa kalavaram panna vandhiya?
40,Not_troll_118.jpg,Aiyoo! Sema comedy!!!
41,Not_troll_119.jpg,Ivanunga yennadhaan sonnalum parentsah collegekku kutikittu varave kudadhu😤😤😤
42,Not_troll_12.jpg,Aaapulla maamanukku oru mutham tharadhu..
43,Not_troll_120.jpg,Thambikku anubavam jashthi pola!
44,Not_troll_121.jpg,"Vungalaithaan ipadi kaluvi kaluvi vuthuranga.
Ninga yennadanna kandukaama poringa.."
45,Not_troll_122.jpg,Aalu munjiya vaaru thiruvilavula kaanama poona aadu maadhuri..
46,Not_troll_123.jpg,En kaila mattum ni oppa sikkuna sinnapinnamagidhuva therinjikko..
47,Not_troll_124.jpg,Avanavan yedukkura mudivu namakku sadhagama dhaanya irukku..
48,Not_troll_125.jpg,Anga yenna therigiradhu..??
49,Not_troll_126.jpg,Indha yettanaa vangittu oodi poitu...
50,Not_troll_127.jpg,ippo feel panni  yenna prayojanam...
51,Not_troll_128.jpg,pulla puchikellam kodukku molaikumunnu naan yenna kanva kanden..
52,Not_troll_129.jpg,mandaiya polandhuruven..
53,Not_troll_13.jpg,yethanai nadurathiriel naan vitukku pogumpodhu kadikuradhukku virattirupinga..   inaikku indha bomb ah pottuu vunhala kolluren paaru..
54,Not_troll_130.jpg,idhukkuyellam yaaru karanam theriuma...
55,Not_troll_131.jpg,No Captions
56,Not_troll_132.jpg,enakku andha postkkum yendha sambalamum illaingaiyya yennaiya vitturunga..
57,Not_troll_133.jpg,cooling glass potta monkey maadhiriye irukku vun dp
58,Not_troll_134.jpg,dei avla nambadhada...
59,Not_troll_135.jpg,idha dhaan andha  poralium sonnan
60,Not_troll_136.jpg,sirandha doctorai therdhedukka neet!!!  sirandha arasiyavadhikala thendhedukka yedhchum konduvanga pakkalam...
61,Not_troll_137.jpg,yedu seruppa nayee...
62,Not_troll_138.jpg,kadaisiya solren olunga oodi poieru..
63,Not_troll_139.jpg,yendha oru vishiyathaium plan panni pannanum... okay..
64,Not_troll_14.jpg,therdhal result yellam mudichittu ini namma pozhappa pappom vulaichadhaan sooru
65,Not_troll_140.jpg,ipidi post potta... nanga poga vendiyadhu dhaan..
66,Not_troll_141.jpg,kolandhi dhinathukku naama kolandhaiya irukkura photovai dp ah vekkalanu patha dress podalaye....  aaavh...
67,Not_troll_142.jpg,"nanga yaru theriumla, oodura railai ottha kaila nippattunavanga, adhuvum left handla.."
68,Not_troll_143.jpg,munjium mogarium...
69,Not_troll_144.jpg,aahaa ivan vilangamana alache..
70,Not_troll_145.jpg,aaga! nmma leavela illadhavanga status yella namma valla kamikkidhe
71,Not_troll_146.jpg,imbuttukandu vayasulaye yenna velai pakkudhu paaru..
72,Not_troll_147.jpg,figurai parthadhum odane vaiya thorandhuruvan...
73,Not_troll_148.jpg,pangu pangu inga paaru...   vun aal kavidhai potturukku..
74,Not_troll_149.jpg,namakku thriyamalaye ivan yaraiyo love panraan polairukke..
75,Not_troll_15.jpg,appalam vithathukku padhila apollovula idly vithurundha inneram naam ambani rangekku poiruppom...
76,Not_troll_150.jpg,nammakku yedhukku vambu thongura maariye nadipom..
77,Not_troll_151.jpg,ni seirura vudhavikku yenna kaimaaru pannaporennu theriyala...
78,Not_troll_152.jpg,No Captions
79,Not_troll_153.jpg,yen singam vandhuruchi da...
80,Not_troll_154.jpg,when i passed in all exams...    #friend -   yennada idhellam...
81,Not_troll_155.jpg,ippo yenna solla vara..
82,Not_troll_156.jpg,aavvv.....
83,Not_troll_157.jpg,kavalapadadhinga tamilnadu manattha naandhaan kapatha poren...
84,Not_troll_158.jpg,adapavi vun mogaraiya mula kuda pakkalaiye da..
85,Not_troll_159.jpg,sirippe varala..
86,Not_troll_16.jpg,No Captions
87,Not_troll_160.jpg,hai friend... nalla irukingala friend...?
88,Not_troll_161.jpg,company secret ah veliya solladha da...
89,Not_troll_162.jpg,rajathandhirangalai anaithaium karaithu kuditthurukkuren pongal..
90,Not_troll_163.jpg,naan sinnapaiyandhane!  ennai manikka kudadha?
91,Not_troll_164.jpg,No Captions
92,Not_troll_165.jpg,nambuda ambi! vuppuma post pottadhal kidaicha ladies friends da avanga.  nan yarukkum requenst anuppalada...
93,Not_troll_166.jpg,romba suda irupinga pola....  vangalen oru jikirthanda sapidalam..
94,Not_troll_167.jpg,No Captions
